pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist,ra,dec
"K2-147 b","K2-147",1,1.47286006,,,90.54940000,293.8330329,-28.4984750
"K2-148 b","K2-148",2,1.33000000,,,124.45800000,14.5176494,-0.1932580
"Kepler-776 b","Kepler-776",1,1.28000000,,,727.90400000,287.2726117,41.6356009
"K2-148 c","K2-148",2,1.73000000,,,124.45800000,14.5176494,-0.1932580
"K2-148 d","K2-148",2,1.64000000,,,124.45800000,14.5176494,-0.1932580
"K2-149 b","K2-149",1,1.64000000,,"M1.0 V",123.67600000,9.8217519,7.2769939
"K2-150 b","K2-150",1,2.00000000,,"M2.5 V",102.48300000,18.3443908,8.9874328
"K2-152 b","K2-152",1,2.29000000,,,108.44900000,181.6324078,-5.8274311
"K2-153 b","K2-153",1,2.00000000,,,143.12500000,183.8088709,2.0208765
"K2-154 b","K2-154",1,1.99000000,,,129.35600000,189.0015173,-2.6696217
"K2-154 c","K2-154",1,2.07000000,,,129.35600000,189.0015173,-2.6696217
"K2-155 b","K2-155",1,1.80000000,,,72.79980000,65.4696140,21.3532633
"K2-155 c","K2-155",1,2.60000000,,,72.79980000,65.4696140,21.3532633
"K2-155 d","K2-155",1,1.90000000,,,72.79980000,65.4696140,21.3532633
"KELT-21 b","KELT-21",1,17.77747400,3.91000000,"A8 V",470.87800000,304.8000322,32.5810446
"HD 215152 d","HD 215152",1,,0.00881289,"K3 V",21.59740000,340.8380941,-6.4020685
"HD 215152 e","HD 215152",1,,0.00905201,"K3 V",21.59740000,340.8380941,-6.4020685
"TCP J05074264+2447555 b","TCP J05074264+2447555",1,,0.06292704,,505.00000000,76.9280000,24.7989611
"Kepler-1654 b","Kepler-1654",1,9.18017100,0.50000000,"G5 V",568.11700000,282.1856949,44.4344617
"UKIRT-2017-BLG-001L b","UKIRT-2017-BLG-001L",1,,1.28000000,,6300.00000000,266.6540830,-29.2113609
"OGLE-2017-BLG-0173L b","OGLE-2017-BLG-0173L",1,,0.01029000,,4705.00000000,267.9706120,-29.2713604
