pl_name,hostname,sy_snum,pl_rade,pl_bmassj,st_spectype,sy_dist
"TOI-4465 b","TOI-4465",1,14.01122587,5.89000000,"G V",121.13900000
"TOI-4487 A b","TOI-4487 A",2,14.60530185,1.25000000,,479.14500000
"Ross 176 b","Ross 176",1,1.84000000,0.01437883,"K7 V",46.44880000
"Kepler-160 b","Kepler-160",1,1.71500000,,,937.01300000
"TOI-4495 c","TOI-4495",1,4.03000000,0.07299536,,132.21400000
"TOI-4495 b","TOI-4495",1,2.48300000,0.02422691,,132.21400000
"Kepler-162 b","Kepler-162",1,1.26000000,,,855.64100000
"TOI-4504 c","TOI-4504",1,11.17000000,2.58000000,,342.60500000
"TOI-4504 b","TOI-4504",1,2.65000000,0.45000000,,342.60500000
"TOI-4507 b","TOI-4507",1,8.20000000,0.06292704,"F",178.26000000
"Kepler-164 d","Kepler-164",1,2.45000000,,,890.75800000
"TOI-4511 b","TOI-4511",1,2.75304932,,,121.83200000
"TOI-4513 b","TOI-4513",1,2.34587608,,,102.60900000
"TOI-4515 b","TOI-4515",1,12.17000000,2.00500000,"G8/G9",193.49900000
"HD 20329 b","HD 20329",1,1.72000000,0.02334593,,63.67960000
"TOI-4529 b","TOI-4529",1,1.77000000,0.01541712,"M1.5 V",28.38400000
"Kepler-167 e","Kepler-167",2,10.16000000,1.01000000,,341.90800000
"TOI-4551 b","TOI-4551",1,11.85910158,1.49000000,,215.98600000
"TOI-4552 b","TOI-4552",1,1.11000000,0.00575782,"M4.5 V",27.26840000
"Kepler-168 b","Kepler-168",1,1.46000000,,,1343.60000000
"TOI-4559 b","TOI-4559",1,1.41500000,,,31.63540000
"TOI-4561 b","TOI-4561",1,1.77789214,,,179.00800000
"TOI-4562 b","TOI-4562",1,,,"F7 V",339.60500000
"Kepler-176 b","Kepler-176",1,1.43000000,,,527.32100000
"Kepler-177 b","Kepler-177",1,3.50000000,0.01837460,,1435.44000000
"TOI-4578 b","TOI-4578",1,2.26974262,,,182.24900000
"TOI-4582 b","TOI-4582",1,10.53644186,0.53000000,,383.84600000
"Kepler-178 d","Kepler-178",1,3.95000000,,,716.02500000
"TOI-4600 b","TOI-4600",1,6.80000000,3.02000000,"K V",216.05600000
"TOI-4602.01","TOI-4602",1,2.45000000,0.01740000,"G5",63.06370000
"TOI-4603 b","TOI-4603",1,11.67975789,12.89000000,"F",225.64300000
"Kepler-181 b","Kepler-181",1,1.27000000,,,609.28300000
"TOI-4633 c","TOI-4633",2,3.20000000,0.38700128,"G V",95.20160000
"TOI-4638.01","TOI-4638",1,2.93300000,,,168.24800000
"TOI-4640 b","TOI-4640",1,2.84326517,,,245.08900000
"TOI-4641 b","TOI-4641",1,8.18255591,3.87000000,,86.35010000
"Kepler-183 b","Kepler-183",1,2.06000000,,,1050.64000000
"Kepler-598 c","Kepler-598",1,3.02420941,,,681.08600000
"TOI-4662 b","TOI-4662",1,2.87998299,,,111.04700000
"Kepler-193 c","Kepler-193",1,2.75000000,,,1009.10000000
"TOI-4666 b","TOI-4666",1,12.53164042,0.48900000,"M2&plusmn;0.5",154.74900000
"WASP-116 b","WASP-116",1,13.67495645,0.64000000,,559.24300000
"Kepler-464 b","Kepler-464",1,3.30000000,,,667.60400000
"Kepler-194 b","Kepler-194",1,1.51000000,,,1097.97000000
"Kepler-199 c","Kepler-199",1,3.25000000,,,521.05400000
"Kepler-207 b","Kepler-207",1,1.57000000,,,875.51900000
"TIC 9344899 b","TIC 9344899",1,9.16000000,19.40000000,"G3 V",532.22800000
"Kepler-647 b","Kepler-647",1,1.17000000,,,1087.87000000
"Kepler-214 b","Kepler-214",1,2.61000000,,,1208.44000000
"Kepler-218 b","Kepler-218",1,1.48000000,,,656.38000000
"Kepler-219 c","Kepler-219",1,3.58000000,,,787.07000000
"TOI-4734 b","TOI-4734",1,10.91754720,0.19400000,,563.06800000
"Kepler-223 c","Kepler-223",1,3.44000000,0.01604631,,1859.71000000
"TOI-4747 b","TOI-4747",1,3.95803201,,,304.61500000
"Kepler-224 d","Kepler-224",1,2.30000000,,,782.08800000
"Kepler-225 b","Kepler-225",1,1.20000000,,,561.10100000
"Kepler-124 c","Kepler-124",1,1.75000000,,,420.04600000
"Kepler-226 b","Kepler-226",1,1.55000000,,,980.13800000
"TOI-4773 b","TOI-4773",1,15.22179579,5.31000000,,492.88800000
"Kepler-227 c","Kepler-227",1,3.04000000,,,1083.06000000
"TOI-4791 b","TOI-4791",1,12.44196858,2.31000000,,328.80200000
"Kepler-232 c","Kepler-232",1,3.83000000,,,1349.13000000
